rnn_type,optimizer,learning_rate,momentum,activation,dropout,batch_norm,rnn_units,train_acc,val_acc,train_loss,val_loss,epochs,time_sec
BiLSTM,adam,0.001,,relu,0.2,True,128,0.9152349829673768,0.7620745301246643,0.214623212814331,0.8347837328910828,20,37.4604127407074
BiLSTM,adam,0.001,,relu,0.2,True,256,0.9232982397079468,0.7643436193466187,0.1932317465543747,1.0037977695465088,21,41.150116205215454
BiLSTM,adam,0.001,,relu,0.3333,True,64,0.8998379111289978,0.7630469799041748,0.2484927326440811,0.8223798274993896,32,52.525118827819824
BiLSTM,adam,0.001,,relu,0.3333,True,128,0.9213128089904784,0.7628849148750305,0.2027296423912048,0.9119770526885986,36,57.45759201049805
BiLSTM,adam,0.001,,relu,0.3333,True,256,0.9141815304756165,0.7568881511688232,0.2212666422128677,0.8908812999725342,29,52.75460982322693
BiLSTM,adam,0.001,,tanh,0.2,True,64,0.8841977119445801,0.7562398910522461,0.2853768467903137,0.7800548672676086,17,32.304893016815186
BiLSTM,adam,0.001,,tanh,0.2,True,128,0.9068476557731628,0.7620745301246643,0.2366434335708618,0.7879359126091003,18,33.791858434677124
BiLSTM,adam,0.001,,tanh,0.2,True,256,0.8735413551330566,0.7526742219924927,0.3128708600997925,0.7764958739280701,13,29.02749276161194
BiLSTM,adam,0.001,,tanh,0.3333,True,64,0.8570502400398254,0.759967565536499,0.3481477499008178,0.714678168296814,20,35.55276417732239
BiLSTM,adam,0.001,,tanh,0.3333,True,128,0.8806726336479187,0.7541329264640808,0.2995097041130066,0.7965803742408752,22,38.92314910888672
BiLSTM,adam,0.001,,tanh,0.3333,True,256,0.8720016479492188,0.7682333588600159,0.319668561220169,0.7132461071014404,18,35.61959171295166
BiLSTM,adam,0.001,,selu,0.2,True,64,0.9201377630233764,0.7564019560813904,0.2052457779645919,0.9579606652259828,25,42.28572368621826
BiLSTM,adam,0.001,,selu,0.2,True,128,0.9416936635971068,0.7555915713310242,0.1522960662841797,1.0657212734222412,30,49.09044528007507
BiLSTM,adam,0.001,,selu,0.2,True,256,0.8997163772583008,0.7536466717720032,0.2502273917198181,0.8638879060745239,16,32.66539978981018
BiLSTM,adam,0.001,,selu,0.3333,True,64,0.8659238219261169,0.7525121569633484,0.3251015841960907,0.7533966898918152,22,37.6354923248291
BiLSTM,adam,0.001,,selu,0.3333,True,128,0.85117506980896,0.7559157013893127,0.3600126504898071,0.7010037899017334,16,30.43402934074402
BiLSTM,adam,0.001,,selu,0.3333,True,256,0.875769853591919,0.7555915713310242,0.3055444657802582,0.7698591351509094,18,35.29413557052612
BiLSTM,adamw,0.001,0.95,relu,0.2,True,64,0.8725283741950989,0.745218813419342,0.3098422586917877,0.8342012763023376,15,28.904709100723267
BiLSTM,adamw,0.001,0.95,relu,0.2,True,128,0.9398298263549804,0.7645056843757629,0.1532633155584335,1.0860553979873655,29,47.89640498161316
BiLSTM,adamw,0.001,0.95,relu,0.2,True,256,0.904538094997406,0.7562398910522461,0.2362216860055923,1.001831293106079,17,34.10345792770386
BiLSTM,adamw,0.001,0.95,relu,0.3333,True,64,0.8712722659111023,0.7679092288017273,0.3177927732467651,0.7364009022712708,23,38.79039931297302
BiLSTM,adamw,0.001,0.95,relu,0.3333,True,128,0.8484197854995728,0.7538087368011475,0.3700565695762634,0.6791950464248657,16,30.159096717834476
